
#The following shows the html-tag count of u01_A0.xml:
Character	"	=> 27028
Character	&	=> 132
Character	'	=> 165
Character	(	=> 3580
Character	)	=> 3577
Character	*	=> 111
Character	,	=> 9425
Character	-	=> 1354
Character	.	=> 4915
Character	/	=> 10877
Character	0	=> 262
Character	1	=> 536
Character	2	=> 1103
Character	3	=> 637
Character	4	=> 523
Character	5	=> 193
Character	6	=> 180
Character	7	=> 246
Character	8	=> 252
Character	9	=> 243
Character	:	=> 2390
Character	;	=> 1672
Character	<	=> 21266
Character	=	=> 13514
Character	>	=> 21266
Character	?	=> 10
Character	@	=> 44
Character	A	=> 2224
Character	B	=> 199
Character	C	=> 77
Character	D	=> 47
Character	E	=> 114
Character	F	=> 1343
Character	G	=> 98
Character	H	=> 448
Character	I	=> 512
Character	J	=> 152
Character	K	=> 1541
Character	L	=> 359
Character	M	=> 1452
Character	N	=> 136
Character	O	=> 133
Character	P	=> 60
Character	Q	=> 51
Character	R	=> 48
Character	S	=> 1133
Character	T	=> 1780
Character	U	=> 7
Character	V	=> 16
Character	W	=> 26
Character	X	=> 3
Character	Y	=> 83
Character	Z	=> 63
Character	[	=> 1179
Character	]	=> 1179
Character	a	=> 28534
Character	b	=> 3308
Character	c	=> 4249
Character	d	=> 12357
Character	e	=> 40142
Character	f	=> 13306
Character	g	=> 15186
Character	h	=> 20129
Character	i	=> 35355
Character	j	=> 122
Character	k	=> 1446
Character	l	=> 16629
Character	m	=> 7095
Character	n	=> 32841
Character	o	=> 26071
Character	p	=> 5323
Character	q	=> 277
Character	r	=> 33770
Character	s	=> 13053
Character	t	=> 25617
Character	u	=> 4788
Character	v	=> 1462
Character	w	=> 2963
Character	x	=> 957
Character	y	=> 5786
Character	z	=> 90
Character	Á	=> 1
Character	É	=> 1
Character	à	=> 29
Character	á	=> 156
Character	ä	=> 3
Character	å	=> 1
Character	æ	=> 5
Character	è	=> 2
Character	ë	=> 1
Character	ï	=> 2
Character	œ	=> 2
Character	έ	=> 1
Character	α	=> 2
Character	η	=> 1
Character	θ	=> 3
Character	ι	=> 1
Character	μ	=> 1
Character	ο	=> 2
Character	ρ	=> 3
Character	ء	=> 208
Character	آ	=> 147
Character	أ	=> 440
Character	ؤ	=> 19
Character	إ	=> 123
Character	ئ	=> 115
Character	ا	=> 2810
Character	ب	=> 1291
Character	ة	=> 805
Character	ت	=> 4523
Character	ث	=> 95
Character	ج	=> 346
Character	ح	=> 388
Character	خ	=> 196
Character	د	=> 326
Character	ذ	=> 142
Character	ر	=> 1601
Character	ز	=> 98
Character	س	=> 464
Character	ش	=> 146
Character	ص	=> 100
Character	ض	=> 67
Character	ط	=> 117
Character	ظ	=> 20
Character	ع	=> 832
Character	غ	=> 43
Character	ف	=> 630
Character	ق	=> 459
Character	ك	=> 378
Character	ل	=> 1972
Character	م	=> 1883
Character	ن	=> 946
Character	ه	=> 1137
Character	و	=> 1079
Character	ى	=> 429
Character	ي	=> 1063
Character	ً	=> 123
Character	ٌ	=> 2123
Character	ٍ	=> 135
Character	َ	=> 8604
Character	ُ	=> 2468
Character	ِ	=> 2546
Character	ّ	=> 1436
Character	ْ	=> 2284
Character	ٰ	=> 50
Character	پ	=> 1
Character	ڤ	=> 1
Character	گ	=> 2
Character	ὰ	=> 1
Character	―	=> 349
Character	‘	=> 1
Character	’	=> 1
Character	“	=> 51
Character	”	=> 51
Character	↓	=> 394
Character	�	=> 3
Total:	622229


#The following shows the html-tag count of u04_v0.xml:
</L>	=> 52
</TEI.2>	=> 1
</body>	=> 1
</div1>	=> 1
</div2>	=> 73
</entryFree>	=> 633
</foreign>	=> 3712
</form>	=> 747
</head>	=> 73
</hi>	=> 5026
</itype>	=> 188
</orth>	=> 1232
</quote>	=> 30
</text>	=> 1
<?xml>	=> 1
<L>	=> 52
<TEI.2>	=> 1
<body>	=> 1
<div1>	=> 1
<div2>	=> 73
<entryFree>	=> 633
<foreign>	=> 3712
<form>	=> 747
<head>	=> 73
<hi>	=> 5026
<itype>	=> 188
<milestone>	=> 734
<orth>	=> 1234
<pb>	=> 42
<quote>	=> 30
<text>	=> 1

#The following shows the character count of u04_v0.xml:
Character	NL	=> 10724
Character	SP	=> 88977
Character	!	=> 10
Character	"	=> 30942
Character	&	=> 139
Character	'	=> 187
Character	(	=> 4660
Character	)	=> 4658
Character	*	=> 132
Character	,	=> 11348
Character	-	=> 1905
Character	.	=> 5559
Character	/	=> 12548
